,Word,Entity
913,5,CARDINAL
914,4 day,DATE
915,320,CARDINAL
916,one,CARDINAL
917,two days,DATE
918,six,CARDINAL
919,3d,CARDINAL
920,30,CARDINAL
921,only 7,CARDINAL
922,more than 4,CARDINAL
923,1100am,ORDINAL
924,3d,CARDINAL
925,600pm,PRODUCT
926,more than 6 feet,QUANTITY
927,85 minute,TIME
928,2 hours,TIME
929,2 hour,TIME
930,second,ORDINAL
931,90 degree,QUANTITY
932,one,CARDINAL
933,30 second,TIME
934,the year,DATE
935,3075 minute,TIME
936,2,CARDINAL
937,27 minutes,TIME
938,half an hour,TIME
939,3,CARDINAL
940,the entire day,DATE
941,friday,DATE
942,814,CARDINAL
943,4,CARDINAL
944,5,CARDINAL
945,90 degree,QUANTITY
946,6,CARDINAL
947,6 foot,QUANTITY
948,12,CARDINAL
949,almost 100 degrees,QUANTITY
950,at least 20 minutes,TIME
951,1,CARDINAL
952,the 3rd day,DATE
953,zero,CARDINAL
954,two,CARDINAL
955,each day,DATE
956,68 feet,QUANTITY
957,two,CARDINAL
958,all day,DATE
959,zero,CARDINAL
960,zero,CARDINAL
961,4 days,DATE
962,4year,CARDINAL
963,one,CARDINAL
964,one,CARDINAL
965,2 days,DATE
966,one,CARDINAL
967,around 300lbs,CARDINAL
968,thousands,CARDINAL
969,first,ORDINAL
970,our day,DATE
971,first,ORDINAL
972,2,CARDINAL
973,half the day,DATE
974,55,CARDINAL
975,less than 20,CARDINAL
976,97,CARDINAL
977,an hour,TIME
978,all day,DATE
979,a few hundred bucks,MONEY
980,today,DATE
981,june 5 2020,DATE
982,248,CARDINAL
983,367,CARDINAL
984,only 67,CARDINAL
985,one,CARDINAL
986,first,ORDINAL
987,thousands,CARDINAL
988,the week of march 17,DATE
989,march 15th,DATE
990,next day,DATE
991,11 days later,DATE
992,as much as,CARDINAL
993,bin,PERSON
994,one,CARDINAL
995,5,CARDINAL
996,3,CARDINAL
997,2,CARDINAL
998,10,CARDINAL
999,6995,DATE
1000,2 days,DATE
1001,700,CARDINAL
1002,5,CARDINAL
1003,2 days,DATE
1004,2 nights,DATE
1005,over 20,CARDINAL
1006,495,CARDINAL
1007,200,CARDINAL
1008,the day,DATE
1009,45,CARDINAL
1010,two,CARDINAL
1011,at least four hundred dollars,MONEY
1012,the past 12 years,DATE
1013,feb 2020,DATE
1014,first,ORDINAL
1015,a bad day,DATE
1016,two,CARDINAL
1017,100,CARDINAL
1018,the day,DATE
1019,100,CARDINAL
1020,the years,DATE
1021,thousands of dollars,MONEY
1022,last week,DATE
1023,3,CARDINAL
1024,4,CARDINAL
1025,45 minutes,TIME
1026,first,ORDINAL
1027,close to 159 minute,TIME
1028,5000,CARDINAL
1029,five days,DATE
1030,half,CARDINAL
1031,4,CARDINAL
1032,15,CARDINAL
1033,first,ORDINAL
1034,second,ORDINAL
1035,an hour,TIME
1036,51,CARDINAL
1037,51,CARDINAL
1038,an hour,TIME
1039,one,CARDINAL
1040,10 seconds,TIME
1041,240,CARDINAL
1042,the day,DATE
1043,30 and 45 minutes,TIME
1044,one day,DATE
1045,a good 45 minutes,TIME
1046,one,CARDINAL
1047,two,CARDINAL
1048,a few years ago,DATE
1049,40,CARDINAL
1050,65 minute,TIME
1051,10 minutes,TIME
1052,2010,DATE
1053,first,ORDINAL
1054,minutes,TIME
1055,30 years,DATE
1056,several years ago,DATE
1057,the day,DATE
1058,1 day,DATE
1059,1,CARDINAL
1060,19500,CARDINAL
1061,5 to 10 minutes,TIME
1062,510,CARDINAL
1063,2,CARDINAL
1064,5,CARDINAL
1065,30 to 60,CARDINAL
1066,1 to 2 hours,TIME
1067,30 to 60,CARDINAL
1068,two days,DATE
1069,170,CARDINAL
1070,15 years,DATE
1071,13,CARDINAL
1072,25,CARDINAL
1073,two,CARDINAL
1074,2,CARDINAL
1075,18,CARDINAL
1076,10 minutes,TIME
1077,10 years,DATE
